well_id,timestamp,welltop_to_water_cm,water_level_1_cm,water_level_2_cm,water_level_3_cm,water_binary,logger?,meter_id,soil moisture,notes
EHR-1,5/20/21 7:38,100.2792,100.2792,100.2792,100.2792,TRUE,FALSE,solinst,,
EER-1,5/20/21 7:40,107.188,106.9848,107.2896,107.2896,TRUE,FALSE,solinst,,
EWR-1,5/20/21 7:42,107.5944,107.5944,107.5944,107.5944,TRUE,FALSE,solinst,,
EFF-XA1N,5/20/21 7:52,136.652,136.5504,136.5504,136.8552,TRUE,FALSE,solinst,,
EFF-XA2N,5/20/21 7:50,54.6608,54.5592,54.5592,54.864,TRUE,FALSE,solinst,,
EHT-XC5S,5/20/21 8:27,91.44,91.44,91.44,91.44,TRUE,TRUE,solinst,"moist, not saturated",
EWF-XA2S,5/20/21 7:55,129.54,129.54,129.54,129.54,TRUE,FALSE,solinst,,
EHF-XA3S,5/20/21 7:57,81.1784,81.0768,81.0768,81.3816,TRUE,FALSE,solinst,moist to saturated,
EET-2,5/20/21 8:02,106.3752,106.3752,106.3752,106.3752,TRUE,FALSE,solinst,moist to saturated,
EFT-XB6S,5/20/21 8:15,42.0624,42.0624,42.0624,42.0624,TRUE,FALSE,solinst,"moist, not saturated",bear poop nearby; pines within 2.5 meters of well
EWT-1,5/20/21 8:05,135.2296,135.0264,135.3312,135.3312,TRUE,FALSE,solinst,"moist, not saturated",no flow in small channel to west of well
EHT-XB5S,5/20/21 8:12,61.5696,61.5696,61.5696,61.5696,TRUE,FALSE,solinst,"moist, not saturated",
EFF-XB7S,5/20/21 8:15,39.0144,39.0144,39.0144,39.0144,TRUE,FALSE,solinst,"saturated and soggy, 1-2 mm of standing water",
EEF-1,5/20/21 8:20,72.5424,72.5424,72.5424,72.5424,TRUE,FALSE,solinst,moist to saturated,
EET-1,5/20/21 8:22,104.8512,104.8512,104.8512,104.8512,TRUE,FALSE,solinst,moist to saturated,
EHT-XC6S,5/20/21 8:23,,,,,FALSE,FALSE,solinst,,no water
EET-XB4S,5/20/21 8:35,120.0912,120.0912,120.0912,120.0912,TRUE,FALSE,solinst,moist to saturated,
EFR-XB3S,5/20/21 8:37,125.5776,125.5776,125.5776,125.5776,TRUE,TRUE,solinst,moist to saturated,
EFR-XB2S,5/20/21 8:39,135.9408,135.9408,135.9408,135.9408,TRUE,FALSE,solinst,moist to saturated,
EHR-XB1N,5/20/21 8:43,130.7592,130.7592,130.7592,130.7592,TRUE,TRUE,solinst,moist,
EFR-XB2N,5/20/21 8:45,52.4256,52.4256,52.4256,52.4256,TRUE,TRUE,solinst,moist to saturated,
EFR-XB3N,5/20/21 8:46,73.4568,73.4568,73.4568,73.4568,TRUE,TRUE,solinst,moist to saturated,
EWR-XB4N,5/20/21 8:48,69.4944,69.4944,69.4944,69.4944,TRUE,TRUE,solinst,"moist, not saturated",
LHT-1,5/20/21 6:53,84.4296,84.4296,84.4296,84.4296,TRUE,FALSE,solinst,,frost on ground and grass
LET-1,5/20/21 6:54,67.6656,67.6656,67.6656,67.6656,TRUE,FALSE,solinst,,
LWT-1,5/20/21 6:57,85.6488,85.6488,85.6488,85.6488,TRUE,FALSE,solinst,,
EFR-XB1S,5/20/21 8:41,136.2456,136.2456,136.2456,136.2456,TRUE,FALSE,solinst,moist,
KHT-XD6N,6/6/21 6:28,131.9784,131.9784,131.9784,131.9784,TRUE,FALSE,solinst,,
KER-1,6/6/21 6:32,100.076,99.9744,99.9744,100.2792,TRUE,FALSE,solinst,,
KWR-XE1N,6/6/21 6:39,135.8392,135.636,135.9408,135.9408,TRUE,FALSE,solinst,,
KFR-XE1S,6/6/21 6:41,124.968,124.968,124.968,124.968,TRUE,FALSE,solinst,,
KFR-XE2S,6/6/21 6:42,63.8048,64.008,63.7032,63.7032,TRUE,FALSE,solinst,,
KER-XE3S,6/6/21 6:45,-5.58800001,-5.08000001,-5.08000001,-6.60400001,TRUE,FALSE,solinst,,
KHT-XE4S,6/6/21 6:44,105.9688,106.0704,106.0704,105.7656,TRUE,FALSE,solinst,,
KHT-XE5S,6/6/21 6:47,112.0648,112.1664,112.1664,111.8616,TRUE,TRUE,solinst,,
KHT-XE6S,6/6/21 6:52,81.3816,81.3816,81.3816,81.3816,TRUE,FALSE,solinst,,
KET-1,6/6/21 6:50,53.6448,53.6448,53.6448,53.6448,TRUE,FALSE,solinst,,
KFF-XE8S,6/6/21 6:55,44.196,44.196,44.196,44.196,TRUE,FALSE,solinst,,"well sheared at ground, needs replacement; reading from ground not top of well"
KWT-1,6/6/21 6:58,106.3752,106.3752,106.3752,106.3752,TRUE,FALSE,solinst,,
KFF-XD6S,6/6/21 7:04,83.82,83.82,83.82,83.82,TRUE,TRUE,solinst,,
KHT-XD3S,6/6/21 7:07,131.6736,131.6736,131.6736,131.6736,TRUE,TRUE,solinst,,
KHF-XD4S,6/6/21 7:06,137.16,137.16,137.16,137.16,TRUE,TRUE,solinst,,
KHR-XD1S,6/6/21 7:08,125.1712,125.2728,125.2728,124.968,TRUE,,solinst,,
KEF-1,6/6/21 7:15,53.1368,53.0352,53.0352,53.34,TRUE,TRUE,solinst,,
KHF-1,6/6/21 7:17,115.5192,115.2144,115.5192,115.824,TRUE,TRUE,solinst,,
KWF-1,6/6/21 7:19,80.4672,80.4672,80.4672,80.4672,TRUE,FALSE,solinst,,
KWR-1,6/6/21 7:21,,,,,FALSE,FALSE,solinst,,cap stuck shut
KER-XD5N,6/6/21 7:42,56.0832,56.388,56.388,55.4736,TRUE,TRUE,solinst,,
KHR-1,6/6/21 7:41,87.6808,87.7824,87.7824,87.4776,TRUE,FALSE,solinst,,
KHR-XD1N,6/6/21 7:38,129.032,128.016,128.016,131.064,TRUE,FALSE,solinst,,
KHF-XE7S,6/6/21 6:53,80.772,80.772,80.772,80.772,TRUE,FALSE,solinst,,needs a black cap
EHR-1,6/6/21 7:59,109.728,109.728,109.728,109.728,TRUE,FALSE,solinst,,
EER-1,6/6/21 8:01,116.2304,116.1288,116.1288,116.4336,TRUE,FALSE,solinst,,
EWR-1,6/6/21 8:02,113.0808,113.0808,113.0808,113.0808,TRUE,FALSE,solinst,,
EFF-XA1N,6/6/21 8:10,147.828,147.828,147.828,147.828,TRUE,FALSE,solinst,,
EFF-XA2N,6/6/21 8:09,64.008,64.008,64.008,64.008,TRUE,FALSE,solinst,,
EWF-XA2S,6/6/21 8:13,105.2576,105.156,105.156,105.4608,TRUE,FALSE,solinst,,
EHF-XA3S,6/6/21 8:12,145.4912,145.0848,145.6944,145.6944,TRUE,FALSE,solinst,,
EHT-XA5S,6/6/21 8:15,117.4496,117.348,117.348,117.6528,TRUE,TRUE,solinst,,
EET-2,6/6/21 8:16,129.3368,129.2352,129.2352,129.54,TRUE,FALSE,solinst,,
EFT-XB6S,6/6/21 8:27,59.5376,59.436,59.436,59.7408,TRUE,FALSE,solinst,,
EWT-1,6/6/21 8:18,149.1488,149.0472,149.0472,149.352,TRUE,TRUE,solinst,,
EHT-XB5S,6/6/21 8:24,83.6168,83.5152,83.5152,83.82,TRUE,TRUE,solinst,,
EFF-XB7S,6/6/21 8:30,62.484,62.484,62.484,62.484,TRUE,FALSE,solinst,saturated,
EEF-1,6/6/21 8:31,97.536,94.488,97.536,100.584,TRUE,FALSE,solinst,saturated,
EET-1,6/6/21 8:34,109.6264,109.4232,109.728,109.728,TRUE,FALSE,solinst,,
